timestamp,open,high,low,close,basevolume,usdtvolume,source_zip,datetime_utc
1767317760,4358.09,4359.28,4356.52,4356.52,0.05,217.8812,20260102.zip,2026-01-02 01:36:00+00:00
1767317880,4356.52,4357.73,4353.62,4357.73,1.81,7884.3905,20260102.zip,2026-01-02 01:38:00+00:00
1767317940,4357.73,4358.4,4357.73,4358.4,0.06,261.504,20260102.zip,2026-01-02 01:39:00+00:00
1767318000,4358.4,4359.44,4358.4,4359.44,5.23,22799.8701,20260102.zip,2026-01-02 01:40:00+00:00
1767318060,4359.44,4359.44,4358.53,4358.53,0.2,871.706,20260102.zip,2026-01-02 01:41:00+00:00
1767318120,4358.53,4359.26,4358.53,4358.81,0.71,3095.0256,20260102.zip,2026-01-02 01:42:00+00:00
1767318180,4358.81,4358.81,4354.04,4354.04,0.31,1350.5033,20260102.zip,2026-01-02 01:43:00+00:00
1767318240,4354.04,4354.04,4353.76,4353.76,0.26,1131.9796,20260102.zip,2026-01-02 01:44:00+00:00
1767318420,4353.76,4357,4353.76,4354.74,0.5,2177.7432,20260102.zip,2026-01-02 01:47:00+00:00
1767318480,4354.74,4358.32,4354.74,4358.09,0.02,87.1641,20260102.zip,2026-01-02 01:48:00+00:00
1767318540,4358.09,4362.23,4358.09,4362.23,0.69,3008.5431,20260102.zip,2026-01-02 01:49:00+00:00
1767318600,4362.23,4362.23,4360.76,4360.76,0.22,959.6024,20260102.zip,2026-01-02 01:50:00+00:00
1767318720,4360.76,4360.76,4354.69,4354.69,0.44,1916.8305,20260102.zip,2026-01-02 01:52:00+00:00
1767318780,4354.69,4356.82,4350.11,4350.11,6.39,27807.2115,20260102.zip,2026-01-02 01:53:00+00:00
1767318840,4350.11,4359.01,4350.11,4357.91,0.35,1525.4221,20260102.zip,2026-01-02 01:54:00+00:00
1767319020,4357.91,4357.91,4354.64,4354.64,0.06,261.2784,20260102.zip,2026-01-02 01:57:00+00:00
1767319200,4354.64,4356.18,4354.64,4356.18,0.83,3614.9025,20260102.zip,2026-01-02 02:00:00+00:00
1767319260,4356.18,4358.91,4356.18,4358.18,0.32,1394.6625,20260102.zip,2026-01-02 02:01:00+00:00
1767319620,4358.18,4360.49,4355.05,4355.05,0.82,3574.1586,20260102.zip,2026-01-02 02:07:00+00:00
1767319680,4355.05,4355.06,4355.05,4355.06,0.18,783.9108,20260102.zip,2026-01-02 02:08:00+00:00
1767319740,4355.06,4355.06,4355.05,4355.05,0.06,261.303,20260102.zip,2026-01-02 02:09:00+00:00
1767319920,4355.05,4355.05,4351.57,4351.57,0.39,1697.7201,20260102.zip,2026-01-02 02:12:00+00:00
1767319980,4351.57,4353.16,4350.11,4353.16,0.35,1522.7038,20260102.zip,2026-01-02 02:13:00+00:00
1767320100,4353.16,4353.16,4352.66,4352.66,0.02,87.0532,20260102.zip,2026-01-02 02:15:00+00:00
1767320160,4352.66,4352.66,4350.11,4350.33,0.06,261.033,20260102.zip,2026-01-02 02:16:00+00:00
1767320280,4350.33,4350.33,4350.11,4350.12,0.32,1392.0368,20260102.zip,2026-01-02 02:18:00+00:00
1767320340,4350.12,4351.2,4350.12,4351.2,0.18,783.1776,20260102.zip,2026-01-02 02:19:00+00:00
1767320400,4351.2,4362.81,4350.14,4356.17,7.91,34469.3659,20260102.zip,2026-01-02 02:20:00+00:00
1767320460,4356.17,4356.17,4349.09,4352.14,7.3,31769.1206,20260102.zip,2026-01-02 02:21:00+00:00
1767320520,4352.14,4355.04,4349.55,4353.35,0.54,2350.4973,20260102.zip,2026-01-02 02:22:00+00:00
1767320580,4353.35,4354.56,4353.35,4354.56,0.1,435.42,20260102.zip,2026-01-02 02:23:00+00:00
1767320700,4354.56,4354.56,4353.35,4353.35,0.02,87.067,20260102.zip,2026-01-02 02:25:00+00:00
1767320760,4353.35,4353.35,4351.83,4351.83,0.6,2611.5538,20260102.zip,2026-01-02 02:26:00+00:00
1767320820,4351.83,4354.56,4351.83,4354.44,0.43,1872.4491,20260102.zip,2026-01-02 02:27:00+00:00
1767320880,4354.44,4354.44,4349.37,4349.37,0.08,348.051,20260102.zip,2026-01-02 02:28:00+00:00
1767321000,4349.37,4354.44,4349.37,4354.44,0.11,478.9878,20260102.zip,2026-01-02 02:30:00+00:00
1767321060,4354.44,4354.44,4349.32,4349.57,0.33,1435.2881,20260102.zip,2026-01-02 02:31:00+00:00
1767321120,4349.57,4354.41,4349.57,4351.78,0.29,1262.3404,20260102.zip,2026-01-02 02:32:00+00:00
1767321240,4351.78,4351.78,4351.78,4351.78,0.01,43.5178,20260102.zip,2026-01-02 02:34:00+00:00
1767321300,4351.78,4352.37,4351.02,4351.02,0.12,522.2703,20260102.zip,2026-01-02 02:35:00+00:00
1767321360,4351.02,4351.7,4351.02,4351.7,0.13,565.721,20260102.zip,2026-01-02 02:36:00+00:00
1767321420,4351.7,4357.75,4351.7,4357.75,2.6,11324.0452,20260102.zip,2026-01-02 02:37:00+00:00
1767321480,4357.75,4357.75,4357.75,4357.75,3.46,15077.815,20260102.zip,2026-01-02 02:38:00+00:00
1767321540,4357.75,4357.75,4356.5,4356.5,0.32,1394.0827,20260102.zip,2026-01-02 02:39:00+00:00
1767321660,4356.5,4356.66,4356.02,4356.55,0.28,1219.8007,20260102.zip,2026-01-02 02:41:00+00:00
1767321720,4356.55,4357.16,4354.93,4357.16,0.17,740.6712,20260102.zip,2026-01-02 02:42:00+00:00
1767321780,4357.16,4357.75,4356.86,4357.75,0.26,1132.8277,20260102.zip,2026-01-02 02:43:00+00:00
1767321840,4357.75,4357.75,4356.83,4356.83,0.15,653.5245,20260102.zip,2026-01-02 02:44:00+00:00
1767321900,4356.83,4357.75,4356.83,4357.75,0.67,2919.6871,20260102.zip,2026-01-02 02:45:00+00:00
1767321960,4357.75,4357.75,4357.75,4357.75,0.53,2309.6075,20260102.zip,2026-01-02 02:46:00+00:00
1767322020,4357.75,4358.6,4355.45,4355.45,1.79,7800.3165,20260102.zip,2026-01-02 02:47:00+00:00
1767322080,4355.45,4358.33,4355.45,4358.33,0.05,217.9165,20260102.zip,2026-01-02 02:48:00+00:00
1767322140,4358.33,4359.3,4358.33,4359.3,0.1,435.93,20260102.zip,2026-01-02 02:49:00+00:00
1767322260,4359.3,4364.33,4359.3,4359.85,5.27,22996.9059,20260102.zip,2026-01-02 02:51:00+00:00
1767322320,4359.85,4363.69,4359.85,4360.73,0.32,1395.8918,20260102.zip,2026-01-02 02:52:00+00:00
1767322380,4360.73,4360.77,4360.72,4360.72,1.14,4971.2371,20260102.zip,2026-01-02 02:53:00+00:00
1767322440,4360.72,4360.72,4360.72,4360.72,0.43,1875.1096,20260102.zip,2026-01-02 02:54:00+00:00
1767322500,4360.72,4363.25,4360.72,4360.72,1.49,6499.984,20260102.zip,2026-01-02 02:55:00+00:00
1767322560,4360.72,4360.79,4360.72,4360.79,0.01,43.6079,20260102.zip,2026-01-02 02:56:00+00:00
1767322620,4360.79,4367.57,4360.79,4367.57,3.34,14585.4015,20260102.zip,2026-01-02 02:57:00+00:00
1767322680,4367.57,4367.57,4363.27,4363.27,1.36,5936.186,20260102.zip,2026-01-02 02:58:00+00:00
1767322740,4363.27,4366.29,4363.27,4366.29,0.44,1920.7977,20260102.zip,2026-01-02 02:59:00+00:00
1767322800,4366.29,4368.68,4366.29,4368.11,0.92,4019.0055,20260102.zip,2026-01-02 03:00:00+00:00
1767322860,4368.11,4368.21,4366.3,4366.3,0.04,174.6749,20260102.zip,2026-01-02 03:01:00+00:00
1767322920,4366.3,4366.3,4366.3,4366.3,0.02,87.326,20260102.zip,2026-01-02 03:02:00+00:00
1767323100,4366.3,4368.68,4366.3,4368.67,0.07,305.7982,20260102.zip,2026-01-02 03:05:00+00:00
1767323160,4368.67,4368.68,4366.37,4367.49,0.16,698.825,20260102.zip,2026-01-02 03:06:00+00:00
1767323220,4367.49,4367.68,4367.49,4367.68,0.1,436.768,20260102.zip,2026-01-02 03:07:00+00:00
1767323280,4367.68,4367.74,4366.9,4366.9,0.06,262.056,20260102.zip,2026-01-02 03:08:00+00:00
1767323400,4366.9,4368.68,4366.9,4368.68,0.1,436.868,20260102.zip,2026-01-02 03:10:00+00:00
1767323460,4368.68,4368.68,4368.07,4368.68,0.26,1135.7104,20260102.zip,2026-01-02 03:11:00+00:00
1767323520,4368.68,4368.68,4368.68,4368.68,0.2,873.736,20260102.zip,2026-01-02 03:12:00+00:00
1767323580,4368.68,4370.38,4368.68,4370.38,0.29,1267.0538,20260102.zip,2026-01-02 03:13:00+00:00
1767323700,4370.38,4370.38,4368.67,4370.35,0.36,1573.2276,20260102.zip,2026-01-02 03:15:00+00:00
1767323760,4370.35,4370.35,4368.81,4369.47,0.28,1223.3064,20260102.zip,2026-01-02 03:16:00+00:00
1767323940,4369.47,4369.47,4367.04,4367.04,0.05,218.352,20260102.zip,2026-01-02 03:19:00+00:00
1767324000,4367.04,4369,4367.04,4369,0.61,2664.8812,20260102.zip,2026-01-02 03:20:00+00:00
1767324120,4369,4369,4363.12,4366.76,24.04,104939.1845,20260102.zip,2026-01-02 03:22:00+00:00
1767324180,4366.76,4367.35,4366.76,4367.35,0.02,87.347,20260102.zip,2026-01-02 03:23:00+00:00
1767324300,4367.35,4371,4367.35,4369.78,1.23,5375.6172,20260102.zip,2026-01-02 03:25:00+00:00
1767324360,4369.78,4373.76,4369.78,4373.14,0.57,2492.6381,20260102.zip,2026-01-02 03:26:00+00:00
1767324420,4373.14,4373.14,4368.73,4368.8,0.78,3408.3646,20260102.zip,2026-01-02 03:27:00+00:00
1767324540,4368.8,4369.54,4368.8,4369.54,0.14,611.7356,20260102.zip,2026-01-02 03:29:00+00:00
1767324600,4369.54,4371.84,4369.54,4371.84,0.14,612.0576,20260102.zip,2026-01-02 03:30:00+00:00
