,timestamp,open,high,low,close,datetime
6664,1772091900000000000,88.45,88.45,88.36,88.37,2026-02-26T07:45:00.000000Z
6665,1772091960000000000,88.37,88.43,88.32,88.32,2026-02-26T07:46:00.000000Z
6666,1772092020000000000,88.32,88.34,88.2,88.22,2026-02-26T07:47:00.000000Z
6667,1772092080000000000,88.22,88.24,88.15,88.2,2026-02-26T07:48:00.000000Z
6668,1772092140000000000,88.2,88.2,88.14,88.17,2026-02-26T07:49:00.000000Z
6669,1772092200000000000,88.17,88.2,88.04,88.12,2026-02-26T07:50:00.000000Z
6670,1772092260000000000,88.12,88.29,88.12,88.24,2026-02-26T07:51:00.000000Z
6671,1772092320000000000,88.24,88.31,88.19,88.25,2026-02-26T07:52:00.000000Z
6672,1772092380000000000,88.25,88.36,88.24,88.35,2026-02-26T07:53:00.000000Z
6673,1772092440000000000,88.35,88.36,88.28,88.29,2026-02-26T07:54:00.000000Z
6674,1772092500000000000,88.29,88.43,88.29,88.35,2026-02-26T07:55:00.000000Z
6675,1772092560000000000,88.35,88.42,88.34,88.41,2026-02-26T07:56:00.000000Z
6676,1772092620000000000,88.41,88.5,88.4,88.5,2026-02-26T07:57:00.000000Z
6677,1772092680000000000,88.5,88.51,88.44,88.48,2026-02-26T07:58:00.000000Z
6678,1772092740000000000,88.48,88.55,88.46,88.47,2026-02-26T07:59:00.000000Z
6679,1772092800000000000,88.47,88.57,88.35,88.35,2026-02-26T08:00:00.000000Z
6680,1772092860000000000,88.35,88.38,87.94,87.98,2026-02-26T08:01:00.000000Z
6681,1772092920000000000,87.98,88.15,87.93,88.08,2026-02-26T08:02:00.000000Z
6682,1772092980000000000,88.08,88.16,88.05,88.09,2026-02-26T08:03:00.000000Z
6683,1772093040000000000,88.09,88.12,87.93,88.04,2026-02-26T08:04:00.000000Z
6684,1772093100000000000,88.04,88.19,88.04,88.15,2026-02-26T08:05:00.000000Z
6685,1772093160000000000,88.15,88.21,88.12,88.16,2026-02-26T08:06:00.000000Z
6686,1772093220000000000,88.16,88.18,88.09,88.12,2026-02-26T08:07:00.000000Z
6687,1772093280000000000,88.12,88.12,87.97,88.08,2026-02-26T08:08:00.000000Z
6688,1772093340000000000,88.08,88.12,88.0,88.03,2026-02-26T08:09:00.000000Z
6689,1772093400000000000,88.03,88.11,87.93,87.97,2026-02-26T08:10:00.000000Z
6690,1772093460000000000,87.97,88.19,87.97,88.07,2026-02-26T08:11:00.000000Z
6691,1772093520000000000,88.07,88.16,88.06,88.16,2026-02-26T08:12:00.000000Z
6692,1772093580000000000,88.16,88.21,88.06,88.08,2026-02-26T08:13:00.000000Z
6693,1772093640000000000,88.08,88.16,88.03,88.05,2026-02-26T08:14:00.000000Z
6694,1772093700000000000,88.05,88.2,88.05,88.17,2026-02-26T08:15:00.000000Z
6695,1772093760000000000,88.17,88.22,88.13,88.18,2026-02-26T08:16:00.000000Z
6696,1772093820000000000,88.18,88.2,88.07,88.07,2026-02-26T08:17:00.000000Z
6697,1772093880000000000,88.07,88.08,87.92,87.93,2026-02-26T08:18:00.000000Z
6698,1772093940000000000,87.93,88.03,87.93,88.02,2026-02-26T08:19:00.000000Z
6699,1772094000000000000,88.02,88.03,87.91,87.95,2026-02-26T08:20:00.000000Z
6700,1772094060000000000,87.95,87.99,87.86,87.94,2026-02-26T08:21:00.000000Z
6701,1772094120000000000,87.94,88.0,87.92,87.96,2026-02-26T08:22:00.000000Z
6702,1772094180000000000,87.96,87.97,87.93,87.95,2026-02-26T08:23:00.000000Z
6703,1772094240000000000,87.95,87.96,87.86,87.91,2026-02-26T08:24:00.000000Z
6704,1772094300000000000,87.91,87.91,87.72,87.72,2026-02-26T08:25:00.000000Z
6705,1772094360000000000,87.72,87.74,87.18,87.23,2026-02-26T08:26:00.000000Z
6706,1772094420000000000,87.23,87.32,86.92,87.0,2026-02-26T08:27:00.000000Z
6707,1772094480000000000,87.0,87.34,86.98,87.3,2026-02-26T08:28:00.000000Z
6708,1772094540000000000,87.3,87.39,86.95,87.0,2026-02-26T08:29:00.000000Z
6709,1772094600000000000,87.0,87.01,86.74,86.93,2026-02-26T08:30:00.000000Z
6710,1772094660000000000,86.93,86.94,86.77,86.82,2026-02-26T08:31:00.000000Z
6711,1772094720000000000,86.82,86.96,86.74,86.86,2026-02-26T08:32:00.000000Z
6712,1772094780000000000,86.86,87.02,86.54,86.54,2026-02-26T08:33:00.000000Z
6713,1772094840000000000,86.54,86.95,86.32,86.85,2026-02-26T08:34:00.000000Z
6714,1772094900000000000,86.85,86.91,86.76,86.88,2026-02-26T08:35:00.000000Z
6715,1772094960000000000,86.88,86.97,86.81,86.93,2026-02-26T08:36:00.000000Z
6716,1772095020000000000,86.93,86.96,86.77,86.84,2026-02-26T08:37:00.000000Z
6717,1772095080000000000,86.84,87.08,86.84,87.04,2026-02-26T08:38:00.000000Z
6718,1772095140000000000,87.04,87.1,86.87,86.93,2026-02-26T08:39:00.000000Z
6719,1772095200000000000,86.93,86.99,86.85,86.88,2026-02-26T08:40:00.000000Z
6720,1772095260000000000,86.88,87.15,86.88,87.09,2026-02-26T08:41:00.000000Z
6721,1772095320000000000,87.09,87.16,86.79,86.83,2026-02-26T08:42:00.000000Z
6722,1772095380000000000,86.83,87.08,86.8,87.0,2026-02-26T08:43:00.000000Z
6723,1772095440000000000,87.0,87.09,86.94,86.98,2026-02-26T08:44:00.000000Z
6724,1772095500000000000,86.98,86.98,86.85,86.98,2026-02-26T08:45:00.000000Z
6725,1772095560000000000,86.98,86.99,86.83,86.91,2026-02-26T08:46:00.000000Z
6726,1772095620000000000,86.91,86.94,86.64,86.69,2026-02-26T08:47:00.000000Z
6727,1772095680000000000,86.69,87.0,86.69,87.0,2026-02-26T08:48:00.000000Z
6728,1772095740000000000,87.0,87.22,87.0,87.16,2026-02-26T08:49:00.000000Z
6729,1772095800000000000,87.16,87.45,87.16,87.31,2026-02-26T08:50:00.000000Z
6730,1772095860000000000,87.31,87.41,87.2,87.36,2026-02-26T08:51:00.000000Z
6731,1772095920000000000,87.36,87.45,87.36,87.42,2026-02-26T08:52:00.000000Z
6732,1772095980000000000,87.42,87.42,87.31,87.32,2026-02-26T08:53:00.000000Z
6733,1772096040000000000,87.32,87.35,87.28,87.32,2026-02-26T08:54:00.000000Z
6734,1772096100000000000,87.32,87.36,87.18,87.18,2026-02-26T08:55:00.000000Z
6735,1772096160000000000,87.18,87.44,87.18,87.42,2026-02-26T08:56:00.000000Z
6736,1772096220000000000,87.42,87.46,87.33,87.36,2026-02-26T08:57:00.000000Z
6737,1772096280000000000,87.36,87.44,87.32,87.4,2026-02-26T08:58:00.000000Z
6738,1772096340000000000,87.4,87.46,87.35,87.46,2026-02-26T08:59:00.000000Z
6739,1772096400000000000,87.46,87.56,87.41,87.49,2026-02-26T09:00:00.000000Z
6740,1772096460000000000,87.49,87.57,87.39,87.42,2026-02-26T09:01:00.000000Z
6741,1772096520000000000,87.42,87.44,87.34,87.39,2026-02-26T09:02:00.000000Z
6742,1772096580000000000,87.39,87.41,87.28,87.28,2026-02-26T09:03:00.000000Z
6743,1772096640000000000,87.28,87.36,87.26,87.26,2026-02-26T09:04:00.000000Z
6744,1772096700000000000,87.26,87.33,87.21,87.33,2026-02-26T09:05:00.000000Z
6745,1772096760000000000,87.33,87.34,87.24,87.34,2026-02-26T09:06:00.000000Z
6746,1772096820000000000,87.34,87.39,87.25,87.26,2026-02-26T09:07:00.000000Z
6747,1772096880000000000,87.26,87.3,87.21,87.27,2026-02-26T09:08:00.000000Z
